id,name,scientificName,category,image,displayImage,file,thumb,exists,width,height,foreground_ratio,bbox_fill_ratio,largest_component_ratio,edge_margin_px,edge_touch,bbox,crop_safe,auto_issue,auto_note,issue,severity,note
sp_0001,极火虾,Neocaridina davidi var. Red,虾螺蟹,/species-transparent/morph_batch_017_sheet_02_极火虾_Neocaridina_davidi_var._Red.png?v=cutfix4_20260510,/species-transparent/morph_batch_017_sheet_02_极火虾_Neocaridina_davidi_var._Red.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/morph_batch_017_sheet_02_极火虾_Neocaridina_davidi_var._Red.png,../../public/species-transparent/morph_batch_017_sheet_02_极火虾_Neocaridina_davidi_var._Red.png,yes,574,334,0.1214,0.2723,0.9961,69,no,"69,69,436,196",yes,,,,,
sp_0002,水晶虾,Caridina cantonensis var.,虾螺蟹,/species-transparent/morph_batch_012_sheet_04_水晶虾_Caridina_cantonensis_var.png?v=cutfix4_20260510,/species-transparent/morph_batch_012_sheet_04_水晶虾_Caridina_cantonensis_var.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/morph_batch_012_sheet_04_水晶虾_Caridina_cantonensis_var.png,../../public/species-transparent/morph_batch_012_sheet_04_水晶虾_Caridina_cantonensis_var.png,yes,588,286,0.1458,0.3818,0.9979,71,no,"71,71,446,144",yes,,,,,
sp_0003,苏拉威西虾,Caridina dennerli,虾螺蟹,/species-transparent/base_missing_002_sheet_01_苏拉威西虾_Caridina_dennerli.png?v=cutfix4_20260510,/species-transparent/base_missing_002_sheet_01_苏拉威西虾_Caridina_dennerli.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/base_missing_002_sheet_01_苏拉威西虾_Caridina_dennerli.png,../../public/species-transparent/base_missing_002_sheet_01_苏拉威西虾_Caridina_dennerli.png,yes,561,323,0.1202,0.2739,0.9887,68,no,"68,68,425,187",yes,,,,,
sp_0004,洋葱螺,Vittina turrita,虾螺蟹,/species-transparent/base_missing_007_sheet_03_洋葱螺_Vittina_turrita.png?v=cutfix4_20260510,/species-transparent/base_missing_007_sheet_03_洋葱螺_Vittina_turrita.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/base_missing_007_sheet_03_洋葱螺_Vittina_turrita.png,../../public/species-transparent/base_missing_007_sheet_03_洋葱螺_Vittina_turrita.png,yes,521,391,0.2804,0.5526,1.0000,64,no,"64,64,393,263",yes,,,,,
sp_0005,角螺,Clithon corona,虾螺蟹,/species-transparent/base_missing_002_sheet_06_角螺_Clithon_corona.png?v=cutfix4_20260510,/species-transparent/base_missing_002_sheet_06_角螺_Clithon_corona.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/base_missing_002_sheet_06_角螺_Clithon_corona.png,../../public/species-transparent/base_missing_002_sheet_06_角螺_Clithon_corona.png,yes,437,341,0.3139,0.7108,1.0000,64,no,"64,64,309,213",yes,,,,,
sp_0006,恶魔蟹,Geosesarma dennerle,虾螺蟹,/species-transparent/base_missing_003_sheet_10_恶魔蟹_Geosesarma_dennerle.png?v=cutfix4_20260510,/species-transparent/base_missing_003_sheet_10_恶魔蟹_Geosesarma_dennerle.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/base_missing_003_sheet_10_恶魔蟹_Geosesarma_dennerle.png,../../public/species-transparent/base_missing_003_sheet_10_恶魔蟹_Geosesarma_dennerle.png,yes,574,318,0.2583,0.6008,0.9989,69,no,"69,69,436,180",yes,,,,,
sp_0007,六角恐龙,Ambystoma mexicanum,两栖/爬宠,/species-transparent/base_missing_001_sheet_03_六角恐龙_Ambystoma_mexicanum.png?v=cutfix4_20260510,/species-transparent/base_missing_001_sheet_03_六角恐龙_Ambystoma_mexicanum.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/base_missing_001_sheet_03_六角恐龙_Ambystoma_mexicanum.png,../../public/species-transparent/base_missing_001_sheet_03_六角恐龙_Ambystoma_mexicanum.png,yes,572,348,0.2631,0.5747,0.9993,69,no,"69,69,434,210",yes,,,,,
sp_0008,东方蝾螈,Cynops orientalis,两栖/爬宠,/species-transparent/base_missing_002_sheet_10_东方蝾螈_Cynops_orientalis.png?v=cutfix4_20260510,/species-transparent/base_missing_002_sheet_10_东方蝾螈_Cynops_orientalis.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/base_missing_002_sheet_10_东方蝾螈_Cynops_orientalis.png,../../public/species-transparent/base_missing_002_sheet_10_东方蝾螈_Cynops_orientalis.png,yes,606,296,0.2024,0.5261,0.9999,73,no,"73,73,460,150",yes,,,,,
sp_0009,角蛙,Ceratophrys ornata,两栖/爬宠,/species-transparent/base_missing_002_sheet_04_角蛙_Ceratophrys_ornata.png?v=cutfix4_20260510,/species-transparent/base_missing_002_sheet_04_角蛙_Ceratophrys_ornata.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/base_missing_002_sheet_04_角蛙_Ceratophrys_ornata.png,../../public/species-transparent/base_missing_002_sheet_04_角蛙_Ceratophrys_ornata.png,yes,474,341,0.3483,0.7639,0.9999,64,no,"64,64,346,213",yes,,,,,
sp_0010,黑裙鱼,Gymnocorymbus ternetzi,灯科鱼,/species-transparent/batch_002_species_sheet_01_黑裙鱼_Gymnocorymbus_ternetzi.png?v=cutfix4_20260510,/species-transparent/batch_002_species_sheet_01_黑裙鱼_Gymnocorymbus_ternetzi.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_01_黑裙鱼_Gymnocorymbus_ternetzi.png,../../public/species-transparent/batch_002_species_sheet_01_黑裙鱼_Gymnocorymbus_ternetzi.png,yes,482,347,0.2249,0.4853,0.9990,64,no,"64,64,354,219",yes,,,,,
sp_0011,月光鱼,Xiphophorus maculatus,鱼类,/species-transparent/batch_002_species_sheet_02_月光鱼_Xiphophorus_maculatus.png?v=cutfix4_20260510,/species-transparent/batch_002_species_sheet_02_月光鱼_Xiphophorus_maculatus.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_02_月光鱼_Xiphophorus_maculatus.png,../../public/species-transparent/batch_002_species_sheet_02_月光鱼_Xiphophorus_maculatus.png,yes,517,328,0.2475,0.5396,1.0000,64,no,"64,64,389,200",yes,,,,,
sp_0012,樱桃灯,Puntius titteya,灯科鱼,/species-transparent/batch_002_species_sheet_05_樱桃灯_Puntius_titteya.png?v=cutfix4_20260510,/species-transparent/batch_002_species_sheet_05_樱桃灯_Puntius_titteya.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_05_樱桃灯_Puntius_titteya.png,../../public/species-transparent/batch_002_species_sheet_05_樱桃灯_Puntius_titteya.png,yes,485,304,0.2051,0.4814,1.0000,64,no,"64,64,357,176",yes,,,,,
sp_0013,小精灵,Otocinclus vittatus,鲶鱼/异型,/species-transparent/batch_002_species_sheet_07_小精灵_Otocinclus_vittatus.png?v=cutfix4_20260510,/species-transparent/batch_002_species_sheet_07_小精灵_Otocinclus_vittatus.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_07_小精灵_Otocinclus_vittatus.png,../../public/species-transparent/batch_002_species_sheet_07_小精灵_Otocinclus_vittatus.png,yes,511,283,0.1764,0.4298,0.9954,64,no,"64,64,383,155",yes,,,,,
sp_0014,咖啡鼠,Corydoras aeneus,鲶鱼/异型,/species-transparent/batch_002_species_sheet_08_咖啡鼠_Corydoras_aeneus.png?v=cutfix4_20260510,/species-transparent/batch_002_species_sheet_08_咖啡鼠_Corydoras_aeneus.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_002_species_sheet_08_咖啡鼠_Corydoras_aeneus.png,../../public/species-transparent/batch_002_species_sheet_08_咖啡鼠_Corydoras_aeneus.png,yes,510,319,0.2170,0.4840,1.0000,64,no,"64,64,382,191",yes,,,,,
sp_0015,接吻鱼,Helostoma temminkii,鱼类,/species-transparent/batch_003_species_sheet_01_接吻鱼_Helostoma_temminkii.png?v=cutfix4_20260510,/species-transparent/batch_003_species_sheet_01_接吻鱼_Helostoma_temminkii.png?v=cutfix4_20260510,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_003_species_sheet_01_接吻鱼_Helostoma_temminkii.png,../../public/species-transparent/batch_003_species_sheet_01_接吻鱼_Helostoma_temminkii.png,yes,529,326,0.3230,0.7016,1.0000,64,no,"64,64,401,198",yes,,,,,
